activityId,date,name,distance_km,duration_min,avg_pace_min_per_km,avg_hr,max_hr,elevation_gain_m,calories,aerobic_training_effect,anaerobic_training_effect
24252944093,2026-09-05,Ancón Carrera,5.12,57.0,11.13,113.0,128.0,35.0,409.0,1.7000000476837158,0.0
24237121289,2026-09-03,Ciudad de Panamá Carrera,6.03,52.0,8.62,138.0,167.0,5.0,523.0,3.0,0.0
24216723124,2026-09-02,Ciudad de Panamá Carrera,7.01,69.6,9.93,124.0,151.0,9.0,570.0,2.200000047683716,0.0
24154458978,2026-08-28,Ciudad de Panamá Carrera,10.01,102.3,10.22,130.0,149.0,36.0,807.0,2.4000000953674316,0.0
24142756694,2026-08-27,Ciudad de Panamá Carrera,4.26,30.0,7.05,150.0,175.0,4.0,376.0,3.200000047683716,0.20000000298023224
24130205031,2026-08-26,Ciudad de Panamá Carrera,6.28,59.4,9.46,137.0,148.0,4.0,524.0,2.200000047683716,0.0
24129733204,2026-08-26,Ciudad de Panamá Carrera,0.61,7.7,12.6,101.0,105.0,0.0,46.0,0.20000000298023224,0.0
24091582898,2026-08-23,Carrera,1.42,33.9,23.87,125.0,167.0,2.0,231.0,1.5,0.0
24091448302,2026-08-23,Ciudad de Panamá - 10k casco,5.67,38.0,6.69,163.0,176.0,11.0,548.0,3.5999999046325684,0.0
24055453146,2026-08-20,Ciudad de Panamá Carrera,5.84,40.2,6.89,157.0,172.0,3.0,529.0,3.5,0.20000000298023224
24030452359,2026-08-18,Ciudad de Panamá Carrera,5.0,47.7,9.54,132.0,144.0,3.0,410.0,2.0,0.0
24016329378,2026-08-17,Ciudad de Panamá Carrera,5.52,71.5,12.95,101.0,113.0,3.0,422.0,1.399999976158142,0.0
24000207857,2026-08-16,Ancón Carrera,5.01,86.2,17.21,120.0,153.0,194.0,577.0,1.899999976158142,0.0
23997924890,2026-08-16,Ciudad de Panamá - 10k casco,5.02,34.3,6.83,157.0,166.0,25.0,479.0,3.5,0.0
23991869046,2026-08-15,Ancón Carrera,5.36,60.7,11.32,113.0,125.0,35.0,423.0,1.7000000476837158,0.0
23979865537,2026-08-14,Ciudad de Panamá Carrera,8.01,84.4,10.53,121.0,146.0,10.0,642.0,2.0999999046325684,0.0
23969007346,2026-08-13,Ciudad de Panamá Carrera,6.8,60.3,8.86,138.0,148.0,4.0,565.0,2.299999952316284,0.0
23956693708,2026-08-12,Ciudad de Panamá Carrera,6.85,60.1,8.78,134.0,143.0,4.0,571.0,2.299999952316284,0.0
23942890258,2026-08-11,Ciudad de Panamá Carrera,5.98,61.2,10.24,126.0,144.0,15.0,494.0,2.0999999046325684,0.0
23911546386,2026-08-09,Ciudad de Panamá - Sesión de entrenamiento  17k,17.06,130.6,7.65,146.0,165.0,35.0,1523.0,3.700000047683716,0.0
23904918108,2026-08-08,Ancón Carrera,4.61,52.9,11.48,109.0,123.0,26.0,363.0,1.399999976158142,0.0
